id,age,lng,lat,city,ethnicity,language,gender,annhincome
5276911864,45-54,-123.122946,44.662729,North Albany,White/Caucasian,English,Female,"More than $100,000"
5275905118,25-34,-123.276327,44.570861,Corvallis,American Indian/Native American,English,Male,"More than $100,000"
5275899489,35-44,-123.360693,44.539641,Philomath,White/Caucasian,English,Female,"$50,001 - $75,000"
5275897173,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5275869749,45-54,-123.360693,44.539641,Philomath,White/Caucasian,English,Male,"More than $100,000"
5274266718,55-64,-123.354153,44.363287,Bellfountain ,White/Caucasian,English,Male,"$50,001 - $75,000"
5273397940,25-34,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5272779655,55-64,-123.458215,44.544828,Benton County,Other (please specify),Other (please specify),Not Specified,"$50,001 - $75,000"
5272160561,55-64,-123.360693,44.539641,Philomath,White/Caucasian,English,Female,"More than $100,000"
5272149158,25-34,-123.255618,44.599994,North Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5271242237,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$75,001 - $100,000"
5271194999,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5271099239,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"More than $100,000"
5270829004,55-64,-123.458215,44.544828,Benton County,White/Caucasian,English,Female,"$75,001 - $100,000"
5270826326,55-64,-123.276327,44.570861,Corvallis,Other (please specify),English,Male,"$25,001 - $50,000"
5269543584,45-54,-123.42248,44.589568,Wren,White/Caucasian,English,Female,"$50,001 - $75,000"
5269447669,65-74,-123.299427,44.315459,Monroe,White/Caucasian,English,Female,"$25,001 - $50,000"
5269438850,35-44,-123.276327,44.570861,Corvallis,Other (please specify),English,Male,"Less than $25,000"
5269433095,45-54,-123.299427,44.315459,Monroe,White/Caucasian,English,Female,"$50,001 - $75,000"
5269410959,45-54,-123.276327,44.570861,Corvallis ,White/Caucasian,English,Female,"Less than $25,000"
5269364742,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$75,001 - $100,000"
5265184459,55-64,-123.122946,44.662729,North Albany,White/Caucasian,English,Female,"More than $100,000"
5264440749,55-64,-123.122946,44.662729,North Albany,White/Caucasian,English,Not Specified,"More than $100,000"
5264427741,55-64,-123.122946,44.662729,North Albany,White/Caucasian,English,Female,"More than $100,000"
5263119173,55-64,-123.276327,44.570861,Corvallis,Other (please specify),English,Female,"$50,001 - $75,000"
5261599380,65-74,-123.122946,44.662729,North Albany,White/Caucasian,English,Female,"$75,001 - $100,000"
5261149675,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5260732878,25-34,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$75,001 - $100,000"
5260572520,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"More than $100,000"
5259029709,65-74,-123.42248,44.589568,Wren,White/Caucasian,English,Male,"$50,001 - $75,000"
5258747282,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5256160240,45-54,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$50,001 - $75,000"
5255472392,35-44,-123.545603,44.545603,South Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5255338979,45-54,-123.255618,44.599994,North Corvallis,White/Caucasian,English,Male,"$75,001 - $100,000"
5252578656,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"Less than $25,000"
5252562941,45-54,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"More than $100,000"
5250753404,25-34,-123.255618,44.599994,North Corvallis,Hispanic/Latino,English,Male,"$50,001 - $75,000"
5250344674,25-34,-123.276327,44.570861,Corvallis ,Hispanic/Latino,English,Male,"More than $100,000"
5250292708,55-64,-123.545603,44.545603,South Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5250104807,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$50,001 - $75,000"
5248583178,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"More than $100,000"
5248539780,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5248375304,45-54,-123.545603,44.545603,South Corvallis,White/Caucasian,English,Male,"Less than $25,000"
5247305012,45-54,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$50,001 - $75,000"
5246559443,55-64,-123.545603,44.545603,South Corvallis,White/Caucasian,English,Female,"More than $100,000"
5246558044,25-34,-123.276327,44.570861,Corvallis ,White/Caucasian,English,Male,"Less than $25,000"
5246229022,35-44,-123.122946,44.662729,North Albany,White/Caucasian,English,Female,"More than $100,000"
5246195688,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$75,001 - $100,000"
5246173867,55-64,-123.458215,44.544828,Benton County,White/Caucasian,English,Female,"$50,001 - $75,000"
5246132921,65-74,-123.458215,44.544828,Benton County,White/Caucasian,English,Male,"$75,001 - $100,000"
5245954213,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5245781451,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$75,001 - $100,000"
5244540664,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5244014143,35-44,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5238103874,75 or older,-123.255618,44.599994,North Corvallis,White/Caucasian,English,Female,"$75,001 - $100,000"
5237911387,75 or older,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"More than $100,000"
5237470074,35-44,-123.276327,44.570861,Corvallis,Asian-American/Asian/Pacific Islander,"Hindi, Gujarati",Female,"$50,001 - $75,000"
5232504307,25-34,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$25,001 - $50,000"
5232502600,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5232260893,55-64,-123.276327,44.570861,Corvallis,Other (please specify),Other (please specify),Not Specified,"$50,001 - $75,000"
5231396906,35-44,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$25,001 - $50,000"
5228196936,25-34,-123.276327,44.570861,Corvallis ,White/Caucasian,English,Female,"$25,001 - $50,000"
5227574019,65-74,-123.360693,44.539641,Philomath,White/Caucasian,English,Female,"$25,001 - $50,000"
5226078087,35-44,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"More than $100,000"
5225696969,55-64,-123.458215,44.544828,Benton County,White/Caucasian,English,Male,"More than $100,000"
5225073173,75 or older,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$75,001 - $100,000"
5224928638,45-54,-123.255618,44.599994,North Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5224698434,35-44,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$50,001 - $75,000"
5224672753,55-64,-123.458215,44.544828,Benton County,Other (please specify),English,Male,"More than $100,000"
5224595720,65-74,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$75,001 - $100,000"
5224480867,45-54,-123.255618,44.599994,North Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5222812694,75 or older,-123.458215,44.544828,Benton County,White/Caucasian,English,Male,"$50,001 - $75,000"
5222408500,25-34,-123.276327,44.570861,Corvallis,Asian-American/Asian/Pacific Islander,English,Female,"$75,001 - $100,000"
5222208076,35-44,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"More than $100,000"
5222152133,45-54,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"More than $100,000"
5222102185,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$25,001 - $50,000"
5221966961,75 or older,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
5221924331,55-64,-123.276327,44.570861,Corvallis,White/Caucasian,English,Male,"$50,001 - $75,000"
5221877954,25-34,-123.276327,44.570861,Corvallis,White/Caucasian,English,Female,"$50,001 - $75,000"
